participant_id,source_clip_id,condition,scene_code,auc
P06,C17,HUD,PTL,840.33683111057326
P06,C17,HUD,PTL,837.87732162608268
P07,C17,HUD,PTL,814.09131157673391
P07,C17,HUD,PTL,840.41703686692983
P07,C07,HUD,PTL,962.98376700889139
P07,C06,HUD,PTL,875.74699429927728
P07,C05,HUD,PTL,877.04789797297485
P07,C03,HUD,PTL,820.55451786549804
P07,C02,HUD,PTL,894.10400448136068
P08,C17,HUD,PTL,820.71910803062519
P08,C17,HUD,PTL,778.21152988100448
P08,C07,HUD,PTL,634.23900311730119
P08,C06,HUD,PTL,767.29681314085622
P08,C05,HUD,PTL,900.08399072547081
P08,C03,HUD,PTL,857.17418692328761
P08,C02,HUD,PTL,941.66681414697939
P09,C10,RAW,LL,1025.16265957625
P09,C12,RAW,LL,926.84820940319196
P09,C15,RAW,LL,924.52019644763823
P09,C16,RAW,LL,937.4929825412936
P10,C03,RAW,LL,1057.1087117624636
P10,C11,RAW,LL,972.88850181699138
P10,C11,RAW,LL,944.72812847990463
P10,C14,RAW,LL,941.34819611554701
P11,C14,RAW,LL,897.8655870839516
P11,C11,RAW,LL,907.74739559464979
P11,C11,RAW,LL,925.84234132986376
P11,C03,RAW,LL,937.63673226072683
P12,C03,RAW,LL,982.24832972909724
P12,C11,RAW,LL,991.8399359471448
P12,C11,RAW,LL,966.3155786851944
P12,C14,RAW,LL,1028.6778615331834
P13,C16,RAW,LL,941.96652657543245
P13,C15,RAW,LL,947.94614740540658
P13,C12,RAW,LL,992.43884419353799
P13,C10,RAW,LL,1030.6282813650839
P14,C16,RAW,LL,961.5583690392308
P14,C15,RAW,LL,948.93384951394557
P14,C12,RAW,LL,945.59485479599516
P14,C10,RAW,LL,1071.1672724519526
P15,C14,RAW,LL,1046.0245988178226
P15,C11,RAW,LL,1032.3885743353403
P15,C11,RAW,LL,951.56674130557565
P15,C03,RAW,LL,894.1742090738943
P16,C10,RAW,LL,1072.8482156933164
P16,C12,RAW,LL,991.60583790330725
P16,C15,RAW,LL,961.42876897793519
P16,C16,RAW,LL,969.80817391519201
P17,C03,RAW,LL,967.29155033654558
P17,C11,RAW,LL,847.50626656225052
P17,C11,RAW,LL,880.57552861001807
P17,C14,RAW,LL,999.59202183103957
P18,C10,RAW,LL,951.6120478368864
P18,C12,RAW,LL,923.94845407557182
P18,C15,RAW,LL,879.50772215434392
P18,C16,RAW,LL,983.53389979017163
P01,C14,RAW,LL,1025.5388114892501
P01,C11,RAW,LL,1013.3338836568504
P01,C11,RAW,LL,981.83405917560845
P01,C03,RAW,LL,963.57570953844845
P19,C14,RAW,LL,1034.4011738498073
P19,C11,RAW,LL,1106.2871284627761
P19,C11,RAW,LL,1006.2034219472296
P19,C03,RAW,LL,841.52349819132485
P20,C14,RAW,LL,909.38187023601165
P20,C11,RAW,LL,857.22279072919264
P20,C11,RAW,LL,891.34496350852078
P20,C03,RAW,LL,839.9308356595393
P02,C03,RAW,LL,1020.5635268217264
P02,C11,RAW,LL,993.30606744553279
P02,C11,RAW,LL,984.07581746689198
P02,C14,RAW,LL,982.58739058085462
P03,C10,RAW,LL,957.93222644735579
P03,C12,RAW,LL,915.65949726346003
P03,C15,RAW,LL,941.16270232246563
P03,C16,RAW,LL,953.956712797872
P04,C16,RAW,LL,953.62476114920923
P04,C15,RAW,LL,943.51385988542381
P04,C12,RAW,LL,979.67238769913604
P04,C10,RAW,LL,973.36647959620097
P05,C14,RAW,LL,966.2578506175372
P05,C11,RAW,LL,937.46181044317359
P05,C11,RAW,LL,876.41824203654187
P05,C03,RAW,LL,969.31816083399576
P06,C10,RAW,LL,1014.5587339756776
P06,C12,RAW,LL,967.30210432478123
P06,C15,RAW,LL,991.86051141336338
P06,C16,RAW,LL,989.05992011655042
P07,C16,RAW,LL,835.85815099810611
P07,C15,RAW,LL,921.83354613301435
P07,C12,RAW,LL,892.95619267759696
P07,C10,RAW,LL,944.168911859172
P08,C16,RAW,LL,966.20616771182438
P08,C15,RAW,LL,939.81155773544845
P08,C12,RAW,LL,950.05503585192037
P08,C10,RAW,LL,951.36210350293163
P09,C11,HUD,LL,950.10822765616842
P09,C11,HUD,LL,922.13123096388938
P09,C14,HUD,LL,980.38457914999879
P09,C03,HUD,LL,919.15279071543603
P10,C10,HUD,LL,1031.6786441259098
P10,C12,HUD,LL,918.26957113505318
