participant_id,condition,scene_code,transition,probability
P03,HUD,LL,L->L,0.16666666666666666
P03,HUD,LL,L->R,0
P03,HUD,LL,R->C,0
P03,HUD,LL,R->L,0
P03,HUD,LL,R->R,0
P03,RAW,LL,C->C,1
P03,RAW,LL,C->L,0
P03,RAW,LL,C->R,0
P03,RAW,LL,L->C,0
P03,RAW,LL,L->L,0
P03,RAW,LL,L->R,0
P03,RAW,LL,R->C,0
P03,RAW,LL,R->L,0
P03,RAW,LL,R->R,0
P03,HUD,LR,C->C,0.98484848484848486
P03,HUD,LR,C->L,0
P03,HUD,LR,C->R,0.01515151515151515
P03,HUD,LR,L->C,0
P03,HUD,LR,L->L,0
P03,HUD,LR,L->R,0
P03,HUD,LR,R->C,0.033333333333333333
P03,HUD,LR,R->L,0
P03,HUD,LR,R->R,0.13333333333333333
P03,RAW,LR,C->C,1
P03,RAW,LR,C->L,0
P03,RAW,LR,C->R,0
P03,RAW,LR,L->C,0
P03,RAW,LR,L->L,0
P03,RAW,LR,L->R,0
P03,RAW,LR,R->C,0
P03,RAW,LR,R->L,0
P03,RAW,LR,R->R,0
P03,HUD,PLL,C->C,0.87876706626706635
P03,HUD,PLL,C->L,0.1212329337329337
P03,HUD,PLL,C->R,0
P03,HUD,PLL,L->C,0.52083333333333326
P03,HUD,PLL,L->L,0.47916666666666663
P03,HUD,PLL,L->R,0
P03,HUD,PLL,R->C,0
P03,HUD,PLL,R->L,0
P03,HUD,PLL,R->R,0
P03,RAW,PLL,C->C,0.97727272727272729
P03,RAW,PLL,C->L,0.022727272727272724
P03,RAW,PLL,C->R,0
P03,RAW,PLL,L->C,0.125
P03,RAW,PLL,L->L,0.125
P03,RAW,PLL,L->R,0
P03,RAW,PLL,R->C,0
P03,RAW,PLL,R->L,0
P03,RAW,PLL,R->R,0
P03,HUD,PLR,C->C,0.88658008658008658
P03,HUD,PLR,C->L,0
P03,HUD,PLR,C->R,0.11341991341991338
P03,HUD,PLR,L->C,0
P03,HUD,PLR,L->L,0
P03,HUD,PLR,L->R,0
P03,HUD,PLR,R->C,0.34666666666666668
P03,HUD,PLR,R->L,0
P03,HUD,PLR,R->R,0.45333333333333331
P03,RAW,PLR,C->C,1
P03,RAW,PLR,C->L,0
P03,RAW,PLR,C->R,0
P03,RAW,PLR,L->C,0
P03,RAW,PLR,L->L,0
P03,RAW,PLR,L->R,0
P03,RAW,PLR,R->C,0
P03,RAW,PLR,R->L,0
P03,RAW,PLR,R->R,0
P03,HUD,PTL,C->C,0.76758658008658009
P03,HUD,PTL,C->L,0.23241341991341988
P03,HUD,PTL,C->R,0
P03,HUD,PTL,L->C,0.29047619047619044
P03,HUD,PTL,L->L,0.56666666666666665
P03,HUD,PTL,L->R,0
P03,HUD,PTL,R->C,0
P03,HUD,PTL,R->L,0
P03,HUD,PTL,R->R,0
P03,RAW,PTL,C->C,0.91052964717561002
P03,RAW,PTL,C->L,0.087539850893888133
P03,RAW,PTL,C->R,0.0019305019305019286
P03,RAW,PTL,L->C,0.46309523809523806
P03,RAW,PTL,L->L,0.53690476190476188
P03,RAW,PTL,L->R,0
P03,RAW,PTL,R->C,0.14285714285714285
P03,RAW,PTL,R->L,0
P03,RAW,PTL,R->R,0
P03,HUD,PTR,C->C,0.87197802197802199
P03,HUD,PTR,C->L,0
P03,HUD,PTR,C->R,0.12802197802197801
P03,HUD,PTR,L->C,0
P03,HUD,PTR,L->L,0
P03,HUD,PTR,L->R,0
P03,HUD,PTR,R->C,0.036549707602339165
P03,HUD,PTR,R->L,0
P03,HUD,PTR,R->R,0.79678362573099415
P03,RAW,PTR,C->C,0.95103128460686603
P03,RAW,PTR,C->L,0
P03,RAW,PTR,C->R,0.048968715393133987
P03,RAW,PTR,L->C,0
P03,RAW,PTR,L->L,0
P03,RAW,PTR,L->R,0
P03,RAW,PTR,R->C,0.10185185185185186
P03,RAW,PTR,R->L,0
P03,RAW,PTR,R->R,0.39814814814814814
P03,HUD,S,C->C,0.9620512820512821
P03,HUD,S,C->L,0
P03,HUD,S,C->R,0.0046153846153846141
P03,HUD,S,L->C,0.033333333333333333
P03,HUD,S,L->L,0
P03,HUD,S,L->R,0
